,R/O,Year,Host_City,Country,Contestant,Song,Points,Place,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
318,10,2007,Helsinki,Greece,Sarbel,Yassou Maria,139,7th,1t2zJs2ukKjrVNGQgot9bk,0.5579999999999999,0.833,9.0,-5.2170000000000005,1.0,0.0605,0.00185,1.68e-06,0.05,0.9420000000000001,172.06900000000002,180387.0,4.0
319,11,2007,Helsinki,Georgia,Sopho,Visionary Dream,97,12th,,,,,,,,,,,,,,
320,12,2007,Helsinki,Sweden,The Ark,The Worrying Kind,51,18th,45DP2cidC1BdeIU0WmjIYY,0.638,0.853,1.0,-3.839,0.0,0.0308,0.0151,0.0,0.0843,0.823,133.997,175773.0,4.0
321,13,2007,Helsinki,France,Les Fatals Picards,L'amour à La Française,19,22nd,,,,,,,,,,,,,,
322,14,2007,Helsinki,Latvia,Bonaparti.lv,Questa Notte,54,16th,,,,,,,,,,,,,,
323,15,2007,Helsinki,Russia,Serebro,Song # 1,207,3rd,6UYZElHRYzX5cCnROcG7QX,0.716,0.9470000000000001,0.0,-2.503,0.0,0.0533,0.00202,8.09e-06,0.337,0.5710000000000001,128.024,200859.0,4.0
324,16,2007,Helsinki,Germany,Roger Cicero,Frauen Regieren Die Welt,49,19th,1mPCxdc4hpJ8r2qPnyMYcW,0.586,0.652,9.0,-3.609,1.0,0.0427,0.0812,0.0,0.107,0.599,133.87,177867.0,4.0
325,17,2007,Helsinki,Serbia,Marija Šerifović,Molitva,268,1st,1ue71r2sNUvl4LSqvgVVcZ,0.27399999999999997,0.529,2.0,-6.772,0.0,0.0449,0.71,0.0,0.22,0.348,80.51,182533.0,4.0
326,18,2007,Helsinki,Ukraine,Verka Serduchka,Dancing Lasha Tumbai,235,2nd,3ve2mVR6BkXuNWfHVoA5yu,0.725,0.9590000000000001,0.0,-5.267,1.0,0.0566,0.005229999999999999,0.0082,0.28300000000000003,0.965,144.031,179893.0,4.0
327,19,2007,Helsinki,United Kingdom,Scooch,Flying The Flag (for You),19,22nd,4OT9lDdobsAPaKgtiUhIpv,0.575,0.922,8.0,-4.044,1.0,0.19699999999999998,0.0188,0.0,0.0664,0.36700000000000005,137.986,184547.0,4.0
328,20,2007,Helsinki,Romania,Todomondo,"Liubi, Liubi, I Love You",84,13th,,,,,,,,,,,,,,
329,21,2007,Helsinki,Bulgaria,Elitsa Todorova & Stoyan Yankulov,Water,157,5th,,,,,,,,,,,,,,
330,22,2007,Helsinki,Turkey,Kenan Dogulu,Shake It Up Shekerim,163,4th,,,,,,,,,,,,,,
331,23,2007,Helsinki,Armenia,Hayko,Anytime You Need,138,8th,6COUoYEPyrdfwSSsAZXoYt,0.436,0.439,7.0,-12.001,0.0,0.03,0.7170000000000001,1.22e-05,0.13699999999999998,0.397,167.97,180413.0,4.0
332,24,2007,Helsinki,Moldova,Natalia Barbu,Fight,109,10th,,,,,,,,,,,,,,
333,1,2006,Athens,Switzerland,Six4One,If We All Give A Little,30,16th,2dMGxoGXtapU26WYizhFjl,0.552,0.585,11.0,-4.95,0.0,0.0281,0.53,0.0,0.132,0.289,80.536,191293.0,4.0
334,2,2006,Athens,Moldova,Arsenium & Natalia Gordienko,Loca,22,20th,,,,,,,,,,,,,,
335,3,2006,Athens,Israel,Eddie Butler,Ze Hazman,4,23rd,,,,,,,,,,,,,,
336,4,2006,Athens,Latvia,Cosmos,I Hear Your Heart,30,16th,,,,,,,,,,,,,,
337,5,2006,Athens,Norway,Christine Guldbrandsen,Alvedansen,36,14th,,,,,,,,,,,,,,
338,6,2006,Athens,Spain,Las Ketchup,Bloody Mary,18,21st,,,,,,,,,,,,,,
339,7,2006,Athens,Malta,Fabrizio Faniello,I Do,1,24th,,,,,,,,,,,,,,
340,8,2006,Athens,Germany,Texas Lightning,"No, No, Never",36,14th,5EEiZp74udn1TOG6ty9Pq6,0.649,0.8640000000000001,2.0,-5.142,1.0,0.0282,0.243,0.0,0.203,0.737,120.97399999999999,179787.0,4.0
341,9,2006,Athens,Denmark,Sidsel Ben Semmane,Twist Of Love,26,18th,,,,,,,,,,,,,,
342,10,2006,Athens,Russia,Dima Bilan,Never Let You Go,248,2nd,,,,,,,,,,,,,,
343,11,2006,Athens,North Macedonia,Elena Risteska,Ninanajna,56,12th,,,,,,,,,,,,,,
344,12,2006,Athens,Romania,Mihai Traistariu,Tornero,172,4th,17SxtluFIibupyH59gAnuS,0.6759999999999999,0.9059999999999999,9.0,-5.845,1.0,0.0315,0.185,0.0,0.0837,0.6409999999999999,130.032,181933.0,4.0
345,13,2006,Athens,Bosnia & Herzegovina,Hari Mata Hari,Lejla,229,3rd,0xDQnj1CobUOFmVsovknB1,0.465,0.45899999999999996,6.0,-8.137,0.0,0.0351,0.883,0.000173,0.0692,0.28800000000000003,90.807,181440.0,4.0
346,14,2006,Athens,Lithuania,LT United,We Are The Winners,162,6th,2QNb0E7tUeL5fCQFY5Pf02,0.738,0.7070000000000001,6.0,-5.9639999999999995,1.0,0.0784,0.0188,0.0,0.0725,0.626,130.003,151533.0,4.0
347,15,2006,Athens,United Kingdom,Daz Sampson,Teenage Life,25,19th,,,,,,,,,,,,,,
348,16,2006,Athens,Greece,Anna Vissi,Everything,128,9th,,,,,,,,,,,,,,
349,17,2006,Athens,Finland,Lordi,Hard Rock Hallelujah,292,1st,0YbGwvrS8Mp1BrdsF33fFH,0.595,0.93,3.0,-6.49,1.0,0.0365,0.000516,0.00925,0.349,0.6940000000000001,122.993,183080.0,4.0
350,18,2006,Athens,Ukraine,Tina Karol,Show Me Your Love,145,7th,,,,,,,,,,,,,,
351,19,2006,Athens,France,Virginie Pouchin,Il était Temps,5,22nd,,,,,,,,,,,,,,
352,20,2006,Athens,Croatia,Severina,Moja Štikla,56,12th,3pfBXeCurFSU3e896fXVLm,0.741,0.89,7.0,-3.91,1.0,0.0642,0.188,1.31e-06,0.0835,0.77,106.04700000000001,177987.0,4.0
353,21,2006,Athens,Ireland,Brian Kennedy,Every Song Is A Cry For Love,93,10th,4U7WC5GYgDSFo5pKKoUq7u,0.483,0.447,7.0,-9.027999999999999,1.0,0.0277,0.512,5.15e-06,0.0938,0.321,74.125,168800.0,4.0
354,22,2006,Athens,Sweden,Carola,Invincible,170,5th,,,,,,,,,,,,,,
355,23,2006,Athens,Turkey,Sibel Tüzün,Superstar,91,11th,,,,,,,,,,,,,,
356,24,2006,Athens,Armenia,André,Without Your Love,129,8th,,,,,,,,,,,,,,
357,1,2005,Kyiv,Hungary,NOX,Forogj Világ,97,12th,1MaUE0VmsQwA0ktD0KDjv4,0.6829999999999999,0.8029999999999999,9.0,-5.693,1.0,0.0415,0.439,9.72e-06,0.0726,0.579,140.066,204893.0,4.0
358,2,2005,Kyiv,United Kingdom,Javine,Touch My Fire,18,22nd,,,,,,,,,,,,,,
359,3,2005,Kyiv,Malta,Chiara,Angel,192,2nd,,,,,,,,,,,,,,
360,4,2005,Kyiv,Romania,Luminita Anghel & Sistem,Let Me Try,158,3rd,,,,,,,,,,,,,,
361,5,2005,Kyiv,Norway,Wig Wam,In My Dreams,125,9th,,,,,,,,,,,,,,
362,6,2005,Kyiv,Turkey,Gülseren,Rimi Rimi Ley,92,13th,,,,,,,,,,,,,,
363,7,2005,Kyiv,Moldova,Zdob si Zdub,Boonika Bate Toba,148,6th,,,,,,,,,,,,,,
364,8,2005,Kyiv,Albania,Ledina Celo,Tomorrow I Go,53,16th,,,,,,,,,,,,,,
365,9,2005,Kyiv,Cyprus,Constantinos Christoforou,Ela Ela,46,18th,,,,,,,,,,,,,,
366,10,2005,Kyiv,Spain,Son de sol,Brujería,28,21st,,,,,,,,,,,,,,
367,11,2005,Kyiv,Israel,Shiri Maymon,Hasheket Shenish'ar,154,4th,,,,,,,,,,,,,,
368,12,2005,Kyiv,Serbia & Montenegro,No Name,Zauvijek Moja,137,7th,,,,,,,,,,,,,,
369,13,2005,Kyiv,Denmark,Jakob Sveistrup,Talking To You,125,9th,,,,,,,,,,,,,,
370,14,2005,Kyiv,Sweden,Martin Stenmarck,Las Vegas,30,19th,,,,,,,,,,,,,,
371,15,2005,Kyiv,North Macedonia,Martin Vucic,Make My Day,52,17th,,,,,,,,,,,,,,
372,16,2005,Kyiv,Ukraine,Greenjolly,Razom Nas Bahato,30,19th,,,,,,,,,,,,,,
373,17,2005,Kyiv,Germany,Gracia,Run & Hide,4,24th,,,,,,,,,,,,,,
374,18,2005,Kyiv,Croatia,Boris Novkovic feat. Lado members,Vukovi Umiru Sami,115,11th,,,,,,,,,,,,,,
375,19,2005,Kyiv,Greece,Helena Paparizou,My Number One,230,1st,6LkCvCc9oFoLDv4DLhzTox,0.775,0.7440000000000001,6.0,-5.687,0.0,0.0366,0.19699999999999998,7.99e-05,0.0261,0.963,112.993,175067.0,4.0
376,20,2005,Kyiv,Russia,Natalia Podolskaya,Nobody Hurt No One,57,15th,6DYiyz19lGZojZFyj1OIfZ,0.531,0.823,2.0,-6.362,0.0,0.0386,6.840000000000001e-05,0.00018899999999999999,0.261,0.39,112.98,199707.0,4.0
377,21,2005,Kyiv,Bosnia & Herzegovina,Feminnem,Call Me,79,14th,,,,,,,,,,,,,,
378,22,2005,Kyiv,Switzerland,Vanilla Ninja,Cool Vibes,128,8th,0zOVfyrwPS7FY7REBQDlvD,0.619,0.6759999999999999,2.0,-6.321000000000001,1.0,0.0542,0.27899999999999997,0.0,0.0682,0.425,127.027,182147.0,4.0
379,23,2005,Kyiv,Latvia,Walter & Kazha,The War Is Not Over,153,5th,,,,,,,,,,,,,,
380,24,2005,Kyiv,France,Ortal,Chacun Pense à Soi,11,23rd,,,,,,,,,,,,,,
381,1,2004,Istanbul,Spain,Ramón,Para Llenarme De Ti,87,10th,7htPtEKuXTDQdUfpz6h2XO,0.736,0.943,9.0,-6.649,0.0,0.13,0.20600000000000002,0.0,0.301,0.748,102.005,179061.0,4.0
382,2,2004,Istanbul,Austria,Tie Break,Du Bist,9,21st,,,,,,,,,,,,,,
383,3,2004,Istanbul,Norway,Knut Anders Sørum,High,3,24th,,,,,,,,,,,,,,
384,4,2004,Istanbul,France,Jonatan Cerrada,A Chaque Pas,40,15th,,,,,,,,,,,,,,
385,5,2004,Istanbul,Serbia & Montenegro,Željko Joksimović,Lane Moje,263,2nd,7JmOLZXjPRADNG2ueAMJ0Z,0.556,0.735,1.0,-4.115,0.0,0.0314,0.47200000000000003,0.000226,0.14800000000000002,0.526,101.00200000000001,181253.0,4.0
386,6,2004,Istanbul,Malta,Julie & Ludwig,On Again... Off Again,50,12th,,,,,,,,,,,,,,
387,7,2004,Istanbul,The Netherlands,Re-union,Without You,11,20th,,,,,,,,,,,,,,
388,8,2004,Istanbul,Germany,Max (Maximilian Mutzke),Can't Wait Until Tonight,93,8th,,,,,,,,,,,,,,
389,9,2004,Istanbul,Albania,Anjeza Shahini,The Image Of You,106,7th,,,,,,,,,,,,,,
390,10,2004,Istanbul,Ukraine,Ruslana,Wild Dances,280,1st,1Lav2Z3RKu71MJLIjQz4dQ,0.649,0.919,0.0,-3.778,1.0,0.0768,0.174,3.64e-06,0.0519,0.684,171.99099999999999,183200.0,4.0
391,11,2004,Istanbul,Croatia,Ivan Mikulic,You Are The Only One,50,12th,,,,,,,,,,,,,,
392,12,2004,Istanbul,Bosnia & Herzegovina,Deen,In The Disco,91,9th,2wdhxJI8rvKq1VCRZsiEuA,0.762,0.753,1.0,-7.71,1.0,0.0412,0.00209,0.00028399999999999996,0.0879,0.635,134.019,174960.0,4.0
393,13,2004,Istanbul,Belgium,Xandee,1 Life,7,22nd,,,,,,,,,,,,,,
394,14,2004,Istanbul,Russia,Julia Savicheva,Believe Me,67,11th,,,,,,,,,,,,,,
395,15,2004,Istanbul,North Macedonia,Tose Proeski,Life,47,14th,,,,,,,,,,,,,,
396,16,2004,Istanbul,Greece,Sakis Rouvas,Shake It,252,3rd,,,,,,,,,,,,,,
397,17,2004,Istanbul,Iceland,Jónsi,Heaven,16,19th,,,,,,,,,,,,,,
398,18,2004,Istanbul,Ireland,Chris Doran,If My World Stopped Turning,7,22nd,2w7K4PVdNAaGWwY9wlGzrb,0.47700000000000004,0.498,11.0,-7.952000000000001,1.0,0.0307,0.6409999999999999,1.28e-06,0.168,0.361,147.988,184960.0,4.0
399,19,2004,Istanbul,Poland,Blue Cafe,Love Song,27,17th,,,,,,,,,,,,,,
400,20,2004,Istanbul,United Kingdom,James Fox,Hold On To Our Love,29,16th,,,,,,,,,,,,,,
401,21,2004,Istanbul,Cyprus,Lisa Andreas,Stronger Every Minute,170,5th,,,,,,,,,,,,,,
402,22,2004,Istanbul,Turkey,Athena,For Real,195,4th,,,,,,,,,,,,,,
403,23,2004,Istanbul,Romania,Sanda Ladosi,I Admit,18,18th,,,,,,,,,,,,,,
404,24,2004,Istanbul,Sweden,Lena Philipsson,It Hurts,170,5th,,,,,,,,,,,,,,
405,1,2003,Riga,Iceland,Birgitta,Open Your Heart,81,8th,,,,,,,,,,,,,,
406,2,2003,Riga,Austria,Alf Poier,Weil Der Mensch Zählt,101,6th,4icOtq9jmgpmURhMRv0ZRN,0.7979999999999999,0.496,4.0,-9.867,1.0,0.337,0.0208,0.000262,0.0651,0.8809999999999999,172.645,180400.0,4.0
407,3,2003,Riga,Ireland,Mickey Harte,Weve Got The World,53,11th,0ZO6ZOgVzJyZbmauzo5HEK,0.596,0.8370000000000001,2.0,-5.922999999999999,1.0,0.0433,0.115,0.0,0.171,0.6629999999999999,103.945,205173.0,4.0
408,4,2003,Riga,Turkey,Sertab Erener,Everyway That I Can,167,1st,6eSegCmgoWltb2VKsXmLOa,0.799,0.741,4.0,-7.341,0.0,0.207,0.0569,0.00146,0.342,0.5870000000000001,95.02,181627.0,4.0
409,5,2003,Riga,Malta,Lynn Chirchop,To Dream Again,4,25th,,,,,,,,,,,,,,
410,6,2003,Riga,Bosnia & Herzegovina,Mija Martina,Ne Brini,27,16th,,,,,,,,,,,,,,
411,7,2003,Riga,Portugal,Rita Guerra,Deixa-me Sonhar,13,22nd,3hXedzb7JJIYiyowOCxwJL,0.512,0.534,5.0,-6.332000000000001,1.0,0.0283,0.12300000000000001,0.0,0.106,0.33299999999999996,125.97399999999999,217013.0,4.0
412,8,2003,Riga,Croatia,Claudia Beni,Vie Nisam Tvoja,29,15th,,,,,,,,,,,,,,
413,9,2003,Riga,Cyprus,Stelios Constantas,Feeling Alive,15,20th,,,,,,,,,,,,,,
414,10,2003,Riga,Germany,Lou,Let's Get Happy,53,11th,,,,,,,,,,,,,,
415,11,2003,Riga,Russia,t.A.T.u.,"Ne Ver, Ne Boisia",164,3rd,4MuQWNaW51V9LRocFQUZRU,0.657,0.805,10.0,-5.517,0.0,0.0328,0.0193,4.92e-05,0.418,0.662,136.019,182507.0,4.0
416,12,2003,Riga,Spain,Beth,Dime,81,8th,,,,,,,,,,,,,,
417,13,2003,Riga,Israel,Lior Narkis,Words For Love,17,19th,,,,,,,,,,,,,,
418,14,2003,Riga,The Netherlands,Esther Hart,One More Night,45,13th,,,,,,,,,,,,,,
419,15,2003,Riga,United Kingdom,Jemini,Cry Baby,—,26th,,,,,,,,,,,,,,
420,16,2003,Riga,Ukraine,Olexandr,Hasta La Vista,30,14th,,,,,,,,,,,,,,
421,17,2003,Riga,Greece,Mando,Never Let You Go,25,17th,,,,,,,,,,,,,,
422,18,2003,Riga,Norway,Jostein Hasselgård,I'm Not Afraid To Move On,123,4th,,,,,,,,,,,,,,
423,19,2003,Riga,France,Louisa Baileche,Monts Et Merveilles,19,18th,,,,,,,,,,,,,,
424,20,2003,Riga,Poland,Ich Troje,Keine Grenzen - Zadnych Granic,90,7th,,,,,,,,,,,,,,
425,21,2003,Riga,Latvia,F.L.Y.,Hello From Mars,5,24th,,,,,,,,,,,,,,
426,22,2003,Riga,Belgium,Urban Trad,Sanomi,165,2nd,3z6rnKobVgVCYIDy43MU7z,0.5529999999999999,0.8079999999999999,7.0,-6.178,0.0,0.0312,0.16899999999999998,0.0,0.158,0.6709999999999999,85.03399999999999,247933.0,4.0
427,23,2003,Riga,Estonia,Ruffus,Eighties Coming Back,14,21st,,,,,,,,,,,,,,
428,24,2003,Riga,Romania,Nicola,Dont Break My Heart,73,10th,,,,,,,,,,,,,,
429,25,2003,Riga,Sweden,Fame,Give Me Your Love,107,5th,,,,,,,,,,,,,,
430,26,2003,Riga,Slovenia,Karmen,Nanana,7,23rd,,,,,,,,,,,,,,
431,1,2002,Tallinn,Cyprus,One,Gimme,85,6th,,,,,,,,,,,,,,
432,2,2002,Tallinn,United Kingdom,Jessica Garlick,Come Back,111,3rd,,,,,,,,,,,,,,
433,3,2002,Tallinn,Austria,Manuel Ortega,Say A Word,26,18th,,,,,,,,,,,,,,
434,4,2002,Tallinn,Greece,Michalis Rakintzis,S.A.G.A.P.O.,27,17th,,,,,,,,,,,,,,
435,5,2002,Tallinn,Spain,Rosa,Europe's Living A Celebration,81,7th,,,,,,,,,,,,,,
436,6,2002,Tallinn,Croatia,Vesna Pisarovic,Everything I Want,44,11th,,,,,,,,,,,,,,
437,7,2002,Tallinn,Russia,Prime minister,Northern Girl,55,10th,,,,,,,,,,,,,,
438,8,2002,Tallinn,Estonia,Sahléne,Runaway,111,3rd,,,,,,,,,,,,,,
439,9,2002,Tallinn,North Macedonia,Karolina,Od Nas Zavisi,25,19th,,,,,,,,,,,,,,
440,10,2002,Tallinn,Israel,Sarit Hadad,Light A Candle,37,12th,,,,,,,,,,,,,,
441,11,2002,Tallinn,Switzerland,Francine Jordi,Dans Le Jardin De Mon Âme,15,22nd,,,,,,,,,,,,,,
442,12,2002,Tallinn,Sweden,Afro-dite,Never Let It Go,72,8th,2GrL18XXUxfzIWNdDLq32d,0.708,0.941,3.0,-4.237,0.0,0.0505,0.28300000000000003,0.0,0.14400000000000002,0.753,137.959,183480.0,4.0
443,13,2002,Tallinn,Finland,Laura,Addicted To You,24,20th,,,,,,,,,,,,,,
444,14,2002,Tallinn,Denmark,Malene,Tell Me Who You Are,7,24th,,,,,,,,,,,,,,
445,15,2002,Tallinn,Bosnia & Herzegovina,Maja,Na Jastuku Za Dvoje,33,13th,,,,,,,,,,,,,,
446,16,2002,Tallinn,Belgium,Sergio & the Ladies,Sister,33,13th,,,,,,,,,,,,,,
447,17,2002,Tallinn,France,Sandrine François,Il Faut Du Temps,104,5th,,,,,,,,,,,,,,
448,18,2002,Tallinn,Germany,Corinna May,I Can't Live Without Music,17,21st,,,,,,,,,,,,,,
449,19,2002,Tallinn,Turkey,Buket Bengisu & Saphire,Leylaklar Soldu Kalbinde,29,16th,,,,,,,,,,,,,,
450,20,2002,Tallinn,Malta,Ira Losco,7th Wonder,164,2nd,6rF1ZmDKZKhEv49l2OrYCl,0.726,0.759,2.0,-3.677,1.0,0.0279,0.41100000000000003,0.0,0.135,0.45299999999999996,104.991,181133.0,4.0
451,21,2002,Tallinn,Romania,Monica Anghel & Marcel Pavel,Tell Me Why,71,9th,,,,,,,,,,,,,,
452,22,2002,Tallinn,Slovenia,Sestre,Samo Ljubezen,33,13th,5Wuo6QOB41oIC4qVVteZ4O,0.574,0.8740000000000001,2.0,-6.507000000000001,1.0,0.0416,0.0020399999999999997,0.0,0.309,0.76,140.045,182067.0,3.0
453,23,2002,Tallinn,Latvia,Marie N,I Wanna,176,1st,,,,,,,,,,,,,,
454,24,2002,Tallinn,Lithuania,Aivaras,Happy You,12,23rd,,,,,,,,,,,,,,
455,1,2001,Copenhagen,The Netherlands,Michelle,Out On My Own,16,18th,,,,,,,,,,,,,,
456,2,2001,Copenhagen,Iceland,TwoTricky,Angel,3,22nd,,,,,,,,,,,,,,
457,3,2001,Copenhagen,Bosnia & Herzegovina,Nino,Hano,29,14th,,,,,,,,,,,,,,
458,4,2001,Copenhagen,Norway,Haldor Lægreid,On My Own,3,22nd,,,,,,,,,,,,,,
459,5,2001,Copenhagen,Israel,Tal Sondak,Ein Davar,25,16th,,,,,,,,,,,,,,
460,6,2001,Copenhagen,Russia,Mumiy troll,Lady Alpine Blue,37,12th,,,,,,,,,,,,,,
461,7,2001,Copenhagen,Sweden,Friends,Listen To Your Heartbeat,100,5th,4W7sgrHikz4hbndXFQJzBu,0.601,0.8640000000000001,1.0,-2.635,0.0,0.0383,0.0608,0.0,0.243,0.561,136.961,187093.0,4.0
462,8,2001,Copenhagen,Lithuania,Skamp,You Got Style,35,13th,02AK9DE6ttEbcFxMOim4YZ,0.762,0.727,10.0,-7.329,0.0,0.065,0.11,0.0,0.141,0.873,120.00200000000001,198800.0,4.0
463,9,2001,Copenhagen,Latvia,Arnis Mednis,Too Much,16,18th,,,,,,,,,,,,,,
464,10,2001,Copenhagen,Croatia,Vanna,Strings Of My Heart,42,10th,,,,,,,,,,,,,,
465,11,2001,Copenhagen,Portugal,MTM,Só Sei Ser Feliz Assim,18,17th,,,,,,,,,,,,,,
466,12,2001,Copenhagen,Ireland,Gary O'Shaughnessy,Without Your Love,6,21st,,,,,,,,,,,,,,
467,13,2001,Copenhagen,Spain,David Civera,Dile Que La Quiero,76,6th,0so2Jlze25HJtPYZnEUMzr,0.589,0.902,4.0,-3.725,0.0,0.047,0.000698,0.00025,0.0795,0.374,104.965,213063.0,4.0
468,14,2001,Copenhagen,France,Natasha Saint-Pier,Je N'ai Que Mon âme,142,4th,,,,,,,,,,,,,,
469,15,2001,Copenhagen,Turkey,Sedat Yüce,Sevgiliye Son,41,11th,,,,,,,,,,,,,,
470,16,2001,Copenhagen,United Kingdom,Lindsay D.,No Dream Impossible,28,15th,,,,,,,,,,,,,,
471,17,2001,Copenhagen,Slovenia,Nua Derenda,Energy,70,7th,,,,,,,,,,,,,,
472,18,2001,Copenhagen,Poland,Piasek,2 Long,11,20th,,,,,,,,,,,,,,
473,19,2001,Copenhagen,Germany,Michelle,Wer Liebe Lebt,66,8th,0MAoOpiamwvXSEgcWkeII2,0.369,0.742,8.0,-4.402,1.0,0.0373,0.575,1.6899999999999997e-05,0.314,0.327,150.675,248893.0,4.0
474,20,2001,Copenhagen,Estonia,"Tanel Padar, Dave Benton & 2XL",Everybody,198,1st,,,,,,,,,,,,,,
475,21,2001,Copenhagen,Malta,Fabrizio Faniello,Another Summer Night,48,9th,2dJi1tkuF6TuAFheolHGTP,0.669,0.951,9.0,-5.182,0.0,0.0773,0.14800000000000002,0.0,0.0699,0.6459999999999999,125.926,175987.0,4.0
476,22,2001,Copenhagen,Greece,Antique,Die For You,147,3rd,,,,,,,,,,,,,,
477,23,2001,Copenhagen,Denmark,Rollo & King,Never Ever Let You Go,177,2nd,,,,,,,,,,,,,,
478,1,2000,Stockholm,Israel,Ping Pong,Sa'me'akh,7,22nd,,,,,,,,,,,,,,
479,2,2000,Stockholm,The Netherlands,Linda Wagenmakers,No Goodbyes,40,13th,4OxAOffBcJqxGFn9R5KxYV,0.645,0.8759999999999999,10.0,-6.574,1.0,0.0402,0.0148,0.000918,0.39399999999999996,0.657,134.995,187533.0,4.0
480,3,2000,Stockholm,United Kingdom,Nicki French,Don't Play That Song Again,28,16th,7fO3HXWov7lRzyjlr3CVLs,0.693,0.87,8.0,-9.059,1.0,0.0277,0.31,0.0,0.461,0.49200000000000005,132.06,167813.0,4.0
481,4,2000,Stockholm,Estonia,Ines,Once In A Lifetime,98,4th,,,,,,,,,,,,,,
482,5,2000,Stockholm,France,Sofia Mestari,On Aura Le Ciel,5,23rd,,,,,,,,,,,,,,
483,6,2000,Stockholm,Romania,Taxi,The Moon,25,17th,,,,,,,,,,,,,,
484,7,2000,Stockholm,Malta,Claudette Pace,Desire,73,8th,,,,,,,,,,,,,,
485,8,2000,Stockholm,Norway,Charmed,My Heart Goes Boom,57,11th,6GViWczPtH2ky3RBYycDhI,0.6559999999999999,0.907,11.0,-3.985,1.0,0.0299,0.319,0.0,0.0849,0.9259999999999999,105.0,183280.0,4.0
486,9,2000,Stockholm,Russia,Alsou,Solo,155,2nd,,,,,,,,,,,,,,
487,10,2000,Stockholm,Belgium,Nathalie Sorce,Envie De Vivre,2,24th,,,,,,,,,,,,,,
488,11,2000,Stockholm,Cyprus,Voice,Nomiza,8,21st,,,,,,,,,,,,,,
489,12,2000,Stockholm,Iceland,Einer Augúst Víðisson en Telma Augústdóttir,Tell Me!,45,12th,,,,,,,,,,,,,,
490,13,2000,Stockholm,Spain,Serafín Zubiri,Colgado De Un Sueño,18,18th,,,,,,,,,,,,,,
491,14,2000,Stockholm,Denmark,Olsen brothers,Fly On The Wings Of Love,195,1st,5QbZ2liHjmV27XMmRoEquv,0.69,0.82,2.0,-8.74,1.0,0.0367,0.358,2.2800000000000002e-05,0.0671,0.8270000000000001,103.994,197619.0,4.0
492,15,2000,Stockholm,Germany,Stefan Raab,Wadde Hadde Dudde Da,96,5th,,,,,,,,,,,,,,
493,16,2000,Stockholm,Switzerland,Jane Bogaert,La Vita Cos'è?,14,20th,,,,,,,,,,,,,,
494,17,2000,Stockholm,Croatia,Goran Karan,Kada Zaspu Andeli,70,9th,4MbBUowTU80WVekfxIhfIr,0.565,0.604,4.0,-7.216,0.0,0.0341,0.314,0.0,0.09300000000000001,0.635,152.153,186160.0,4.0
495,18,2000,Stockholm,Sweden,Roger Pontare,When Spirits Are Calling My Name,88,7th,27L4okgASeyUAzZ7etleyQ,0.534,0.85,7.0,-3.0039999999999996,0.0,0.0613,0.0539,1.7e-06,0.278,0.47,122.79799999999999,182813.0,4.0
496,19,2000,Stockholm,North Macedonia,XXL,100\% Te Ljubam,29,15th,,,,,,,,,,,,,,
497,20,2000,Stockholm,Finland,Nina Åström,A Little Bit,18,18th,,,,,,,,,,,,,,
498,21,2000,Stockholm,Latvia,BrainStorm,My Star,136,3rd,,,,,,,,,,,,,,
499,22,2000,Stockholm,Turkey,Pinar Ayhan & S.O.S. band,Yorgunum Anla,59,10th,,,,,,,,,,,,,,
500,23,2000,Stockholm,Ireland,Eamonn Toal,Millennium Of Love,92,6th,,,,,,,,,,,,,,
501,24,2000,Stockholm,Austria,The rounder girls,All To You,34,14th,,,,,,,,,,,,,,
502,1,1999,Jerusalem,Lithuania,Aiste Smilgeviciute,Strazdas,13,20th,,,,,,,,,,,,,,
503,2,1999,Jerusalem,Belgium,Vanessa Chinitor,Like The Wind,38,12th,,,,,,,,,,,,,,
504,3,1999,Jerusalem,Spain,Lydia,No Quiero Escuchar,1,23rd,,,,,,,,,,,,,,
505,4,1999,Jerusalem,Croatia,Doris Dragovic,Marija Magdalena,118,4th,62rNgm24sIpaP74EgFNkhc,0.5820000000000001,0.89,1.0,-5.46,0.0,0.0499,0.0376,0.0,0.43700000000000006,0.703,120.061,183000.0,4.0
506,5,1999,Jerusalem,United Kingdom,Precious,Say It Again,38,12th,,,,,,,,,,,,,,
507,6,1999,Jerusalem,Slovenia,Darja Svajger,For A Thousand Years,50,11th,,,,,,,,,,,,,,
508,7,1999,Jerusalem,Turkey,Tuba Önal & Grup Mystik,Dön Artik,21,16th,,,,,,,,,,,,,,
509,8,1999,Jerusalem,Norway,Stig André Van Eijk,Living My Life Without You,35,14th,,,,,,,,,,,,,,
510,9,1999,Jerusalem,Denmark,Trine Jepsen & Michael Teschl,This Time (i Mean It),71,8th,,,,,,,,,,,,,,
511,10,1999,Jerusalem,France,Nayah,Je Veux Donner Ma Voix,14,19th,0i5PkaywNXRGLXOAEQBOBb,0.541,0.846,9.0,-5.724,1.0,0.0784,0.299,8.45e-06,0.102,0.552,174.084,205613.0,4.0
512,11,1999,Jerusalem,The Netherlands,Marlayne,One Good Reason,71,8th,,,,,,,,,,,,,,
513,12,1999,Jerusalem,Poland,Mietek (Mieczyslaw) Szczesniak,Przytul Mnie Mocno,17,18th,,,,,,,,,,,,,,
